f42ec7f4 23b80473 018afb5b
2c0ca83a 00c7f8f8 fa3ef7db
0f31d3e8 ffbafe90 02e1022f
2325c95c f8c602b5 05260225
1768c41e 080cf648 f5b9f408
29d09e14 feef1ac4 0468101e
24b0ab24 0518fb2d eea4f724
18b1c520 fdd50b44 fe95fb38
1a8cc775 fa7cfb6f fcc207c9
1d9cb593 0965f94f eb7df566
1578b9ca f6ab1a00 07280b8f
3440a9e6 ffba00e2 f2d8fb68
0f42da38 031efbb5 0051ff5d
24a4ca94 f9f600ac 0d47046d
1400bc6a 07e3efc0 f2cff3db
18cc9bb0 080b05b0 16640c4b
2d11a034 0ad8f848 ea15ef65
169fc0ec 05820b72 0c830d0e
24f8bf6a fb7103c5 fe2efb2f
10d4d204 0523f7bb fc7bff2e
252ac54f fcd0fb66 10fc04b6
0fd4b804 002cf147 ef5df2b8
2304adfe ff881391 105f0efc
1e98b570 f99ffd0b fb6ef415
0c92d62f 052104e1 00070514
3047cb86 fa15fc08 fe8effd9
1516ca2b 0923f2f8 f816f9ab
1da5b1b3 fbd4fa31 16d5031e
27089ed3 1230efad ee84f0bf
2090a4a4 05551d7e 0b1d142e
2776baac 03c5f8c5 f44af86a
187ed4c0 084cfcb6 fcdbf898
1b0ca3ba f9f70753 043804b6
38bead03 13c7f142 0051ed5f
13cacf63 fb070d6e fa670021
1c45c476 f3e70385 f7200994
2b6facce 132bf765 efb5f5fc
1e48a57d fea60e49 10f115d8
25e0b794 004e05c6 f865f83d
108dd4c2 042ef3c5 fce6fbea
22a6c776 01ecf986 0f8502ee
107bb5e4 fefaeff7 f5c2f6b3
249cb016 04810e84 0dba0b78
2645ae47 026cf951 f46cf46a
1153cc92 00ec05d7 081002e4
2705c6f0 f877feac fbe20110
190ac9d5 092df7df f626fa25
1ec8a8f8 f5b20eab 0cdb0bc6
297ca2fa 136cee74 e7d9f53b
10c5b276 fcf926a6 0ca70d37
30afa1e0 028efb1f f398f9b4
12c7d0fe 04c2fced ffa8fc31
17eac2f0 f6bdfb1b 042f0260
1cfdaab6 0e73eaf8 f19af03d
1fc49da8 ff5f28f9 11d6178e
31dba6de fde9febc f594f865
0b28db5a 00e4f34b 019c012e
28c3bf96 fc3f038d 0d9c02bc
177cb2ea 0c02f317 e727f17e
16349175 09ec0ff4 15190cb0
29b5b11a 08f60150 ec3cf092
100acda4 036904d1 081d0373
23ccc1d8 f9fdfec9 fcc90142
1970c890 099bf3ff f963f8b4
1a1eab21 f3080ac0 0ac60a16
2094b606 048df4c6 f16ef629
0abfcaa6 fd0b170f fd0fff92
234eca6c 014cedce f937fdca
1368cb9c 0753f95b f745f188
18549fd0 fc970671 0b5c0843
1fc2b61f 0948f418 f5abecdb
0dd6d2b6 003c095e 046a032a
252ccb97 f5f4034f fde4ff4f
1284c5d0 052bed26 fe2bf988
261aa5c9 06f60967 0d6c034b
24fe9e62 0cd4f2c6 ebc7eddd
11ecc1f0 05210dc7 09d31015
21c7c9c2 f7df0597 0126ffc7
157ccaea 0614f465 fae5f966
1dbcc1f2 0228f290 1696038c
1d9ea524 0c38f39b e6a8f7bd
14c4b984 fb071641 149911c8
2b3eaf88 f7940054 fa30fd04
0c85d6ea 004df6a6 fd40fdbd
22d7c6a6 fdbe0265 0f29045c
1470af98 04cff057 f33df3ac
2554a5d3 0669130d 0dd10bb2
177bb687 f8a3f787 fe06f09c
0ff7caea ff7e05f9 08150841
2151c717 f8f705a8 04b10409
1a43bf8b 0a90ed27 fcc3f321
18cdb0b0 f9370131 120b07f4
23ababdb 1039f430 e56ef503
0995c084 f5921c73 03b006a2
2a9caa2a ffa5fc3f f575f689
0e9ed694 036dfb38 0216ffbc
2167c680 fac200bd 059502dc
16ddb9cd 0723f1bd f2bbf9c0
0f8fb070 f50626e3 069905e0
3030a5ba 0403f78e ec6efba3
16e7caa8 fc870259 f6a5f7f5
14c7b5e2 f6be0c8a 005507fb
2662b9fa 0b86fb1d f6aef581
1622b472 02020d6c 04610766
1fc9c112 f78b0172 fc32fade
12d0d14b 0355f28d 00b2ff98
1d9bbda7 fce2f889 10df00bb
204aa8c8 0bafef4c ec9cf53a
1c6faeb2 f48f20d8 09520f66
26f8b256 01d3f516 f011f400
0c70cf42 01f10e44 fd0dfdbc
1e36bbf3 f222031a fc130572
1461bfb0 088eee8c fb9ef84c
1e83a3f0 ff8f0903 0e22075f
2831a0a4 10f6ee78 ee86f24f
122ebf40 03ed1369 04190a76
20acc182 fcf8fa1f f72cfa7d
186ecec6 06e4fea7 fd01faaf
17bdb5ac f538ff91 068e019e
119dc45c fe5afb96 fe21fce2
1abac046 fb52ffb2 02640032
142ac3e2 fe3500a7 0028fff0
